Year;Month;Date;Piege;Commune;Village;Environnement;Eau;Debris;H20;Oeufs;Albo_M;Tot_Albo;Aegypti_M;Tot_aegypti;Tot_Aedes;X;Y
2021;Avril;05/08/2021;3;Koungou;Koungou;PU;Neutre;faibles;sec;7;0;0;0;0;0;522693,5;8592187,42
2021;Avril;06/08/2021;10;Koungou;Kangani;U;Neutre;Neutre;sec;29;0;0;0;0;0;520124,38;8592713,34
2021;Avril;06/08/2021;8;Koungou;Kangani;U;Neutre;Neutre;sec;43;0;0;5;5;5;520212,53;8592719,58
2021;Août;06/08/2021;9;Koungou;Kangani;U;Neutre;Neutre;sec;105;15;26;5;5;31;520137,24;8592627,29
2021;Octobre;18/05/2021;1;Koungou;koungou;PU;trouble;élevés;sec;77;87;135;29;29;164;522706,99;8592096,84
2021;Septembre;26/05/2021;1;Koungou;Kangani;U;Neutre;Neutre;sec;115;8;100;5;5;105;520396,49;8593102,62
2021;Septembre;18/05/2021;1;Koungou;Kangani;U;Neutre;Neutre;sec;205;327;421;5;5;426;520396,49;8593102,62
2021;Octobre;29/07/2021;1;Koungou;Kangani;U;trouble;élevés;sec;51;26;26;2;7;33;520396,49;8593102,62
2021;Juin;01/09/2021;2;Koungou;Koungou;PU;Neutre;faibles;sec;43;0;0;8;13;13;523367,81;8592152,36
2021;Août;29/07/2021;1;Koungou;Koungou;PU;claire;faibles;sec;45;11;11;14;24;35;522706,99;8592096,84
2021;Février;06/05/2021;3;Koungou;koungou;PU;Neutre;faibles;sec;0;0;0;0;0;0;522693,5;8592187,42
2021;Février;26/05/2021;10;Koungou;Kangani;U;Neutre;Neutre;sec;0;0;0;5;5;5;520124,38;8592713,34
2021;Septembre;26/05/2021;8;Koungou;koungou;PU;Neutre;faibles;sec;31;37;37;0;0;37;522936,03;8586932,22
2021;mai;02/06/2021;7;Koungou;Kangani;U;claire;faibles;sec;49;0;0;5;5;5;520164,53;8592838,27
2021;mai;26/05/2021;11;Koungou;Kangani;U;claire;faibles;sec;70;0;0;5;5;5;520319,66;8592688,64
2021;mai;08/06/2021;4;Koungou;koungou;PU;Neutre;faibles;sec;36;19;19;8;8;19;522716,33;8592232,18
