Semaine;cadre du piégeage;date pose;;;;;;;;;;;date relevé;Piège;commune;village;nom;lambx;lamby;alt;date;precipitation;tn;tx;un;ux;Environnement;eau;débris;Y;X;nombre œufs;espèces;sexe;nombre;observations;agents
2;TIS;14/08/2019;;;;;;;;;;;19/08/2019;1;Koungou;Kangani;mamoudzou;77743;-36166;65;19/08/2019;0;23;29.5;;;U;claire;faibles;-12.728873;45.189997;x;Ae. aegyti;M;7;;
2;TIS;14/08/2019;;;;;;;;;;;19/08/2019;1;Koungou;Kangani;mamoudzou;77743;-36166;65;19/08/2019;0;23;29.5;;;U;claire;faibles;-12.728873;45.189997;x;Ae. aegyti;F;11;;
2;TIS;20/08/2019;;;;;;;;;;;28/08/2019;2;Koungou;Kangani;mamoudzou;77743;-36166;65;28/08/2019;0;20.5;28.5;;;u;claire;faibles;-12.891495;45.199631;x;Ae. albopictus;F;18;;
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;1;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;claire;faibles;-12.737952;45.211288;23;Ae. albopictus;F;13;;Lassa- 
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;1;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;claire;faibles;-12.737952;45.211288;;Ae. aegypti;F;10;;Lassa- 
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;1;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;claire;faibles;-12.737952;45.211288;;E. quinquevittatus;F;7;;Lassa- 
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;1;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;claire;faibles;-12.737952;45.211288;;E. quinquevittatus;M;2;;Lassa- 
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;2;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;trouble;eleves;-12.737445;45.217375;28;Ae. albopictus;M;8;;Lassa- 
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;2;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;trouble;eleves;-12.737445;45.217375;;Ae. albopictus;F;10;;Lassa- 
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;2;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;trouble;eleves;-12.737445;45.217375;;Ae. aegypti;M;5;;Lassa- 
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;2;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;trouble;eleves;-12.737445;45.217375;;Ae. aegypti;F;13;;Lassa- 
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;3;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;;;-12.737133;45.211163;18;Ae. albopictus;M;9;;Lassa- 
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;3;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;;;-12.737133;45.211163;;Ae. albopictus;F;7;;Lassa-
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;4;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;trouble;eleves;-12.736728;45.211375;25;Ae. albopictus;M;12;;Ella- 
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;4;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;trouble;eleves;-12.736728;45.211375;;Ae. albopictus;F;10;;Ella- 
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;5;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;;;-12.736737;45.211307;23;;;;sec;Ella- 
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;6;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;claire;faibles;-12.735929;45.212028;46;Ae. albopictus;M;11;;Ella- 
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;6;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;claire;faibles;-12.735929;45.212028;;Ae. albopictus;F;12;;Ella- 
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;6;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;claire;faibles;-12.735929;45.212028;;Ae. aegypti;M;8;;Ella- 
2;TIS;07/01/2020;;;;;;;;;;;14/01/2020;6;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;claire;faibles;-12.735929;45.212028;;Ae. aegypti;F;6;;Ella- 
3;TIS;07/01/2020;;;;;;;;;;;14/01/2020;7;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;claire;faibles;-12.736063;45.212353;35;Ae. albopictus;M;7;;Ella- 
3;TIS;07/01/2020;;;;;;;;;;;14/01/2020;7;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;claire;faibles;-12.736063;45.212353;;Ae. albopictus;F;14;;Ella- 
3;TIS;07/01/2020;;;;;;;;;;;14/01/2020;8;Koungou;Koungou;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;;;-12.784653;45.213437;;;;;support absent;Ella
3;TIS;07/01/2020;;;;;;;;;;;14/01/2020;1;Koungou;Longoni;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;trouble;eleves;-12.728105;45.169961;x;Ae. albopictus;F;1;;Isma-Lassa
3;TIS;07/01/2020;;;;;;;;;;;14/01/2020;1;Koungou;Longoni;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;trouble;eleves;-12.728105;45.169961;x;Ae. albopictus;M;3;;Isma-Lassa
3;TIS;07/01/2020;;;;;;;;;;;14/01/2020;1;Koungou;Longoni;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;trouble;eleves;-12.728105;45.169961;x;Ae. aegyti;F;8;;Isma-Lassa
3;TIS;07/01/2020;;;;;;;;;;;14/01/2020;1;Koungou;Longoni;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;trouble;eleves;-12.728105;45.169961;x;Ae. aegyti;M;4;;
3;TIS;07/01/2020;;;;;;;;;;;14/01/2020;1;Koungou;Longoni;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;trouble;eleves;-12.728105;45.169961;x;E. quinquevittatus;F;7;;
3;TIS;07/01/2020;;;;;;;;;;;14/01/2020;1;Koungou;Longoni;mamoudzou;77743;-36166;65;14/01/2020;;;;;;PU;trouble;eleves;-12.728105;45.169961;x;E. quinquevittatus;M;11;;
3;TIS;07/01/2020;;;;;;;;;;;14/01/2020;2;Koungou;Longoni;mamoudzou;77743;-36166;65;14/01/2020;;;;;;U;claire;faibles;-12.721057;45.168441;x;Ae. albopictus;F;6;;
3;TIS;07/01/2020;;;;;;;;;;;14/01/2020;2;Koungou;Longoni;mamoudzou;77743;-36166;65;14/01/2020;;;;;;U;claire;faibles;-12.721057;45.168441;x;Ae. albopictus;M;9;;
3;TIS;07/01/2020;;;;;;;;;;;14/01/2020;3;Koungou;Longoni;mamoudzou;77743;-36166;65;14/01/2020;;;;;;U;claire;faibles;-12.72308074;45.1682603;x;Ae. albopictus;F;7;;
3;TIS;07/01/2020;;;;;;;;;;;14/01/2020;3;Koungou;Longoni;mamoudzou;77743;-36166;65;14/01/2020;;;;;;U;claire;faibles;-12.72308074;45.1682603;x;Ae. albopictus;M;12;;
3;TIS;07/01/2020;;;;;;;;;;;14/01/2020;3;Koungou;Longoni;mamoudzou;77743;-36166;65;14/01/2020;;;;;;U;claire;faibles;-12.72308074;45.1682603;x;Ae. aegyti;F;10;;
3;TIS;07/01/2020;;;;;;;;;;;14/01/2020;3;Koungou;Longoni;mamoudzou;77743;-36166;65;14/01/2020;;;;;;U;claire;faibles;-12.72308074;45.1682603;x;Ae. aegyti;M;5;;
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;1;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;claire;faibles;-12.728873;45.189997;12;Ae. albopictus;M;9;;Ella- 
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;1;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;claire;faibles;-12.728873;45.189997;;Ae. albopictus;F;11;;Ella- 
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;1;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;claire;faibles;-12.728873;45.189997;;Ae. aegyti;M;4;;Ella- 
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;1;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;claire;faibles;-12.728873;45.189997;;Ae. aegypti;F;7;;Ella- 
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;1;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;claire;faibles;-12.728873;45.189997;;E. quinquevittatus;F;6;;Ella- 
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;1;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;claire;faibles;-12.728873;45.189997;;E. quinquevittatus;M;3;;Ella- 
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;2;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;trouble;eleves;-12.730208;45.188323;59;Ae. albopictus;F;17;;Ella- 
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;2;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;trouble;eleves;-12.730208;45.188323;;Ae. albopictus;M;10;;Ella- 
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;2;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;trouble;eleves;-12.730208;45.188323;;Ae. aegypti;F;11;;Ella- 
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;2;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;trouble;eleves;-12.730208;45.188323;;Ae. aegypti;M;5;;Ella- 
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;3;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;U;claire;faibles;-12.730103;45.187517;64;Ae. albopictus;F;21;;Isma-Lassa
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;3;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;U;claire;faibles;-12.730103;45.187517;;Ae. albopictus;M;11;;Isma-Lassa
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;4;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;claire;faibles;-12.730593;45.187795;58;Ae. albopictus;F;6;;Isma-Lassa
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;4;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;claire;faibles;-12.730593;45.187795;x;Ae. albopictus;M;4;;Isma-Lassa
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;4;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;claire;faibles;-12.730593;45.187795;x;Ae. aegypti;F;9;;Isma-Lassa
3;TIS;08/01/2020;;;;;;;;;;;15/01/2020;4;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;claire;faibles;-12.730593;45.187795;x;Ae. aegypti;M;7;;Isma-Lassa
1;RSI port Longoni;08/01/2020;;;;;;;;;;;15/01/2020;4;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;claire;faibles;-12.730593;45.187795;x;E. quinquevittatus;F;5;;Isma-Lassa
1;RSI port Longoni;08/01/2020;;;;;;;;;;;15/01/2020;4;Koungou;Kangani;mamoudzou;77743;-36166;65;15/01/2020;;;;;;PU;claire;faibles;-12.730593;45.187795;x;E. quinquevittatus;M;3;;Isma-Lassa
