annee;id;groupage;Homme.Urbain;Homme.Rural;Femme.Urbain;Femme.Rural;Homme;Femme;Urbain;Rural;Total;source;office
1976;1;0-4;100416;486599;99453;489941;587015;589394;199869;976540;1176409;RGPH;DNSI
1976;2;5-9;80816;411456;82665;400186;492272;482851;163481;811642;975123;RGPH;DNSI
1976;3;10-14;60647;282160;65075;256884;342807;321959;125722;539044;664766;RGPH;DNSI
1976;4;15-19;58662;249945;60765;272743;308607;333508;119427;522688;642115;RGPH;DNSI
1976;5;20-24;46239;172152;47487;218355;218391;265842;93726;390507;484233;RGPH;DNSI
1976;6;25-29;36390;163705;43143;223875;200095;267018;79533;387580;467113;RGPH;DNSI
1976;7;30-34;30895;154834;33504;190446;185729;223950;64399;345280;409679;RGPH;DNSI
1976;8;35-39;27926;133457;28505;137444;161383;165949;56431;270901;327332;RGPH;DNSI
1976;9;40-44;22479;116947;22007;125822;139426;147829;44486;242769;287255;RGPH;DNSI
1976;10;45-49;17864;93466;15445;83008;111330;98453;33309;176474;209783;RGPH;DNSI
1976;11;50-54;14692;89927;13238;90369;104619;103607;27930;180296;208226;RGPH;DNSI
1976;12;55-59;10659;66919;8928;53989;77578;62917;19587;120908;140495;RGPH;DNSI
1976;13;60-64;8630;67990;9337;72129;76620;81466;17967;140119;158086;RGPH;DNSI
1976;14;65-69;5043;35236;5032;31800;40279;36832;10075;67036;77111;RGPH;DNSI
1976;15;70-74;3460;28430;4610;33137;31890;37747;8070;61567;69637;RGPH;DNSI
1976;16;75-79;2084;15065;2650;14080;17149;16730;4734;29145;33879;RGPH;DNSI
1976;17;80;2188;25958;3677;29082;28146;32759;5865;55040;60905;RGPH;DNSI
1976;99;ND;125;272;93;281;397;374;218;553;771;RGPH;DNSI
1976;18;Total;529215;2594518;545614;2723571;3123733;3269185;1074829;5318089;6392918;RGPH;DNSI
1987;1;0-4;149762;570042;147536;565971;719804;713507;297298;1136013;1433311;RGPH;DNSI
1987;2;5-9;128986;504220;126068;485494;633206;611562;255054;989714;1244768;RGPH;DNSI
1987;3;10-14;101282;350884;101294;313008;452166;414302;202576;663892;866468;RGPH;DNSI
1987;4;15-19;88302;259898;98163;281359;348200;379522;186465;541257;727722;RGPH;DNSI
1987;5;20-24;72890;187325;77355;238398;260215;315753;150245;425723;575968;RGPH;DNSI
1987;6;25-29;61829;169337;70244;236307;231166;306551;132073;405644;537717;RGPH;DNSI
1987;7;30-34;49947;149525;52911;192532;199472;245443;102858;342057;444915;RGPH;DNSI
1987;8;35-39;42534;135984;42424;159265;178518;201689;84958;295249;380207;RGPH;DNSI
1987;9;40-44;34782;122166;34159;135582;156948;169741;68941;257748;326689;RGPH;DNSI
1987;10;45-49;28804;103306;26125;106177;132110;132302;54929;209483;264412;RGPH;DNSI
1987;11;50-54;23433;93518;21739;98269;116951;120008;45172;191787;236959;RGPH;DNSI
1987;12;55-59;17367;78004;15442;71978;95371;87420;32809;149982;182791;RGPH;DNSI
1987;13;60-64;14366;75337;14691;76682;89703;91373;29057;152019;181076;RGPH;DNSI
1987;14;65-69;9681;50884;9256;46441;60565;55697;18937;97325;116262;RGPH;DNSI
1987;15;70-74;6168;34032;7012;35086;40200;42098;13180;69118;82298;RGPH;DNSI
1987;16;75-79;3461;17615;3632;17013;21076;20645;7093;34628;41721;RGPH;DNSI
1987;17;80;3694;21346;4951;23074;25040;28025;8645;44420;53065;RGPH;DNSI
1987;99;ND;NA;NA;NA;NA;NA;NA;NA;NA;NA;RGPH;DNSI
1987;18;Total;837288;2923423;853002;3082636;3760711;3935638;1690290;6006059;7696349;RGPH;DNSI
1998;1;0-4;199839;639956;194959;629546;839795;824505;394798;1269502;1664300;RGPH;DNSI
1998;2;5-9;196124;634087;191497;605560;830211;797057;387621;1239647;1627268;RGPH;DNSI
1998;3;10-14;170681;466814;170236;419367;637495;589603;340917;886181;1227098;RGPH;DNSI
1998;4;15-19;147667;344813;165335;363935;492480;529270;313002;708748;1021750;RGPH;DNSI
1998;5;20-24;122593;241740;123637;285947;364333;409584;246230;527687;773917;RGPH;DNSI
1998;6;25-29;96978;195391;102959;252702;292369;355661;199937;448093;648030;RGPH;DNSI
1998;7;30-34;83909;180430;84998;222797;264339;307795;168907;403227;572134;RGPH;DNSI
1998;8;35-39;73329;160115;69209;181699;233444;250908;142538;341814;484352;RGPH;DNSI
1998;9;40-44;59475;135344;52386;154577;194819;206963;111861;289921;401782;RGPH;DNSI
1998;10;45-49;44470;112047;38934;113564;156517;152498;83404;225611;309015;RGPH;DNSI
1998;11;50-54;34825;101676;34383;109785;136501;144168;69208;211461;280669;RGPH;DNSI
1998;12;55-59;26230;81231;23467;74394;107461;97861;49697;155625;205322;RGPH;DNSI
1998;13;60-64;22049;78635;22422;78597;100684;101019;44471;157232;201703;RGPH;DNSI
1998;14;65-69;14597;55009;13727;46546;69606;60273;28324;101555;129879;RGPH;DNSI
1998;15;70-74;10936;44004;11438;40982;54940;52420;22374;84986;107360;RGPH;DNSI
1998;16;75-79;5919;23832;5633;19607;29751;25240;11552;43439;54991;RGPH;DNSI
1998;17;80;4454;19950;5601;18327;24404;23928;10055;38277;48332;RGPH;DNSI
1998;99;ND;11132;15742;9389;16747;26874;26136;20521;32489;53010;RGPH;DNSI
1998;18;Total;1325207;3530816;1320210;3634679;4856023;4954889;2645417;7165495;9810912;RGPH;DNSI
2009;1;0-4;257291;1096127;251243;1070032;1353418;1321275;508534;2166159;2674693;RGPH;DNSI
2009;2;5-9;223556;1001589;221268;957582;1225145;1178850;444824;1959171;2403995;RGPH;DNSI
2009;3;10-14;185770;750026;201984;680741;935796;882725;387754;1430767;1818521;RGPH;DNSI
2009;4;15-19;196878;548879;236550;562531;745757;799081;433428;1111410;1544838;RGPH;DNSI
2009;5;20-24;174109;364818;171861;452704;538927;624565;345970;817522;1163492;RGPH;DNSI
2009;6;25-29;133978;323161;137607;420020;457139;557627;271585;743181;1014766;RGPH;DNSI
2009;7;30-34;110588;281331;98802;337699;391919;436501;209390;619030;828420;RGPH;DNSI
2009;8;35-39;91089;239818;75966;257576;330907;333542;167055;497394;664449;RGPH;DNSI
2009;9;40-44;71110;205039;59512;221492;276149;281004;130622;426531;557153;RGPH;DNSI
2009;10;45-49;57294;175485;47169;174540;232779;221709;104463;350025;454488;RGPH;DNSI
2009;11;50-54;45454;147421;37690;158666;192875;196356;83144;306087;389231;RGPH;DNSI
2009;12;55-59;32405;118914;26354;110498;151319;136852;58759;229412;288171;RGPH;DNSI
2009;13;60-64;24123;105793;22958;103064;129916;126022;47081;208857;255938;RGPH;DNSI
2009;14;65-69;15860;74069;14714;63963;89929;78677;30574;138032;168606;RGPH;DNSI
2009;15;70-74;11679;56890;12376;55057;68569;67433;24055;111947;136002;RGPH;DNSI
2009;16;75-79;6394;35273;6654;30295;41667;36949;13048;65568;78616;RGPH;DNSI
2009;17;80;6093;36686;8348;36156;42779;44504;14441;72842;87283;RGPH;DNSI
2009;99;ND;0;0;0;0;0;0;0;0;0;RGPH;DNSI
2009;18;Total;1643671;5561319;1631056;5692616;7204990;7323672;3274727;11253935;14528662;RGPH;DNSI
NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
